date,salesperson_key,monthly_target
2024-01-31,1,1260000
2024-01-31,2,1200000
2024-01-31,3,1150000
2024-01-31,4,1100000
2024-01-31,5,880000
2024-01-31,6,1670000
2024-01-31,7,1620000
2024-01-31,8,1590000
2024-01-31,9,1440000
2024-01-31,10,1530000
2024-01-31,11,1500000
2024-01-31,12,1400000
2024-01-31,13,1170000
2024-01-31,14,1150000
2024-02-29,1,1240000
2024-02-29,2,1180000
2024-02-29,3,1130000
2024-02-29,4,1080000
2024-02-29,5,860000
2024-02-29,6,1650000
2024-02-29,7,1600000
2024-02-29,8,1560000
2024-02-29,9,1410000
2024-02-29,10,1500000
2024-02-29,11,1480000
2024-02-29,12,1380000
2024-02-29,13,1150000
2024-02-29,14,1130000
2024-03-31,1,1260000
2024-03-31,2,1190000
2024-03-31,3,1140000
2024-03-31,4,1090000
2024-03-31,5,870000
2024-03-31,6,1660000
2024-03-31,7,1620000
2024-03-31,8,1580000
2024-03-31,9,1430000
2024-03-31,10,1520000
2024-03-31,11,1490000
2024-03-31,12,1390000
2024-03-31,13,1170000
2024-03-31,14,1140000
2024-04-30,1,1260000
2024-04-30,2,1200000
2024-04-30,3,1150000
2024-04-30,4,1100000
2024-04-30,5,880000
2024-04-30,6,1670000
2024-04-30,7,1630000
2024-04-30,8,1590000
2024-04-30,9,1440000
2024-04-30,10,1530000
2024-04-30,11,1500000
2024-04-30,12,1400000
2024-04-30,13,1170000
2024-04-30,14,1150000
2024-05-31,1,1270000
2024-05-31,2,1210000
2024-05-31,3,1160000
2024-05-31,4,1110000
2024-05-31,5,880000
2024-05-31,6,1690000
2024-05-31,7,1640000
2024-05-31,8,1600000
2024-05-31,9,1450000
2024-05-31,10,1540000
2024-05-31,11,1510000
2024-05-31,12,1410000
2024-05-31,13,1180000
2024-05-31,14,1160000
2024-06-30,1,1260000
2024-06-30,2,1200000
2024-06-30,3,1150000
2024-06-30,4,1100000
2024-06-30,5,880000
2024-06-30,6,1670000
2024-06-30,7,1620000
2024-06-30,8,1590000
2024-06-30,9,1430000
2024-06-30,10,1520000
2024-06-30,11,1500000
2024-06-30,12,1400000
2024-06-30,13,1170000
2024-06-30,14,1150000
2024-07-31,1,1260000
2024-07-31,2,1190000
2024-07-31,3,1140000
2024-07-31,4,1090000
2024-07-31,5,870000
2024-07-31,6,1670000
2024-07-31,7,1620000
2024-07-31,8,1580000
2024-07-31,9,1430000
2024-07-31,10,1520000
2024-07-31,11,1490000
2024-07-31,12,1400000
2024-07-31,13,1170000
2024-07-31,14,1140000
2024-08-31,1,1250000
2024-08-31,2,1190000
2024-08-31,3,1140000
2024-08-31,4,1090000
2024-08-31,5,870000
2024-08-31,6,1660000
2024-08-31,7,1610000
2024-08-31,8,1580000
2024-08-31,9,1420000
2024-08-31,10,1510000
2024-08-31,11,1490000
2024-08-31,12,1390000
2024-08-31,13,1160000
2024-08-31,14,1140000
2024-09-30,1,1270000
2024-09-30,2,1210000
2024-09-30,3,1160000
2024-09-30,4,1110000
2024-09-30,5,880000
2024-09-30,6,1690000
2024-09-30,7,1640000
2024-09-30,8,1600000
2024-09-30,9,1450000
2024-09-30,10,1540000
2024-09-30,11,1510000
2024-09-30,12,1410000
2024-09-30,13,1180000
2024-09-30,14,1160000
2024-10-31,1,1310000
2024-10-31,2,1240000
2024-10-31,3,1190000
2024-10-31,4,1140000
2024-10-31,5,910000
2024-10-31,6,1730000
2024-10-31,7,1680000
2024-10-31,8,1650000
2024-10-31,9,1490000
2024-10-31,10,1580000
2024-10-31,11,1550000
2024-10-31,12,1450000
2024-10-31,13,1210000
2024-10-31,14,1190000
2024-11-30,1,1350000
2024-11-30,2,1280000
2024-11-30,3,1230000
2024-11-30,4,1170000
2024-11-30,5,940000
2024-11-30,6,1790000
2024-11-30,7,1730000
2024-11-30,8,1700000
2024-11-30,9,1530000
